Date,"BTC price, USD","ETH price, USD","BTC profit, USD per day for TH","ETH profit, USD per day for TH"
2010-07-17,0.0495,,154298,
2010-07-18,0.0726,,401834,
2010-07-19,0.0859,,481473,
2010-07-20,0.0783,,431831,
2010-07-21,0.0767,,460783,
2010-07-22,0.0649,,334641,
2010-07-23,0.0566,,319692,
2010-07-24,0.0581,,329602,
2010-07-25,0.053,,320839,
2010-07-26,0.053,,289627,
2010-07-27,0.058,,198389,
2010-07-28,0.0595,,242370,
2010-07-29,0.0648,,278382,
2010-07-30,0.0663,,275386,
2010-07-31,0.0664,,297637,
2010-08-01,0.0611,,273081,
2010-08-02,0.0613,,248468,
2010-08-03,0.06,,234431,
2010-08-04,0.0597,,264328,
2010-08-05,0.0596,,206592,
2010-08-06,0.0622,,142793,
2010-08-07,0.0599,,178048,
2010-08-08,0.06,,190690,
2010-08-09,0.066,,181613,
2010-08-10,0.069,,198271,
2010-08-11,0.0635,,196830,
2010-08-12,0.069,,192848,
2010-08-13,0.0655,,179694,
2010-08-14,0.0663,,221718,
2010-08-15,0.0661,,118179,
2010-08-16,0.0643,,127034,
2010-08-17,0.0678,,123209,
2010-08-18,0.069,,137974,
2010-08-19,0.0673,,131465,
2010-08-20,0.0661,,154681,
2010-08-21,0.066,,122606,
2010-08-22,0.0655,,139665,
2010-08-23,0.0655,,128841,
2010-08-24,0.065,,128665,
2010-08-25,0.0656,,125588,
2010-08-26,0.0644,,124015,
2010-08-27,0.0645,,94437,
2010-08-28,0.0646,,99090,
2010-08-29,0.0644,,103425,
2010-08-30,0.0648,,102550,
2010-08-31,0.0621,,107623,
2010-09-01,0.0625,,91634,
2010-09-02,0.0622,,99823,
2010-09-03,0.0609,,100891,
2010-09-04,0.0618,,104237,
2010-09-05,0.062,,95627,
2010-09-06,0.0622,,96359,
2010-09-07,0.0613,,102562,
2010-09-08,0.0615,,92295,
2010-09-09,0.0611,,75979,
2010-09-10,0.0614,,96126,
2010-09-11,0.0628,,84203,
2010-09-12,0.0618,,89056,
2010-09-13,0.0621,,85159,
2010-09-14,0.062,,95834,
2010-09-15,0.0615,,80509,
2010-09-16,0.0619,,98507,
2010-09-17,0.0599,,80260,
2010-09-18,0.06,,89729,
2010-09-19,0.0618,,64989,
2010-09-20,0.0621,,66459,
2010-09-21,0.0629,,62604,
2010-09-22,0.0623,,69214,
2010-09-23,0.0622,,79759,
2010-09-24,0.0621,,66077,
2010-09-25,0.0621,,63666,
2010-09-26,0.062,,68976,
2010-09-27,0.0621,,70371,
2010-09-28,0.0619,,60835,
2010-09-29,0.062,,40379,
2010-09-30,0.0618,,46853,
2010-10-01,0.0619,,46051,
2010-10-02,0.0616,,37368,
2010-10-03,0.0613,,51495,
2010-10-04,0.0612,,51311,
2010-10-05,0.0614,,43227,
2010-10-06,0.0622,,55017,
2010-10-07,0.0651,,47154,
2010-10-08,0.0769,,56175,
2010-10-09,0.0884,,68255,
2010-10-10,0.0948,,76946,
2010-10-11,0.093,,66635,
2010-10-12,0.0945,,67239,
2010-10-13,0.0985,,76105,
2010-10-14,0.103,,82496,
2010-10-15,0.103,,68560,
2010-10-16,0.101,,87760,
2010-10-17,0.102,,71787,
2010-10-18,0.103,,71548,
2010-10-19,0.0985,,77245,
2010-10-20,0.0995,,75347,
2010-10-21,0.102,,40308,
2010-10-22,0.105,,46652,
2010-10-23,0.107,,51343,
2010-10-24,0.112,,59450,
2010-10-25,0.111,,50213,
2010-10-26,0.142,,70400,
2010-10-27,0.169,,73097,
2010-10-28,0.179,,86496,
2010-10-29,0.185,,84142,
2010-10-30,0.193,,94821,
2010-10-31,0.193,,52133,
2010-11-01,0.194,,63401,
2010-11-02,0.193,,62473,
2010-11-03,0.193,,63363,
2010-11-04,0.214,,72102,
2010-11-05,0.235,,79547,
2010-11-06,0.326,,110082,
2010-11-07,0.405,,132425,
2010-11-08,0.294,,103778,
2010-11-09,0.237,,54630,
2010-11-10,0.225,,52411,
2010-11-11,0.227,,48773,
2010-11-12,0.249,,49021,
2010-11-13,0.282,,71528,
2010-11-14,0.278,,64959,
2010-11-15,0.274,,54602,
2010-11-16,0.246,,55820,
2010-11-17,0.226,,53690,
2010-11-18,0.245,,49456,
2010-11-19,0.274,,29881,
2010-11-20,0.282,,38601,
2010-11-21,0.277,,42176,
2010-11-22,0.28,,43635,
2010-11-23,0.283,,38518,
2010-11-24,0.283,,44433,
2010-11-25,0.281,,46749,
2010-11-26,0.282,,40527,
2010-11-27,0.284,,38775,
2010-11-28,0.277,,41305,
2010-11-29,0.254,,40278,
2010-11-30,0.219,,28759,
2010-12-01,0.219,,28174,
2010-12-02,0.242,,28953,
2010-12-03,0.251,,30937,
2010-12-04,0.23,,30714,
2010-12-05,0.205,,26287,
2010-12-06,0.215,,26681,
2010-12-07,0.213,,27558,
2010-12-08,0.239,,29527,
2010-12-09,0.213,,23328,
2010-12-10,0.202,,14255,
2010-12-11,0.216,,19049,
2010-12-12,0.214,,17016,
2010-12-13,0.22,,15827,
2010-12-14,0.238,,21497,
2010-12-15,0.242,,21602,
2010-12-16,0.244,,18594,
2010-12-17,0.245,,18985,
2010-12-18,0.245,,20071,
2010-12-19,0.244,,21741,
2010-12-20,0.254,,18575,
2010-12-21,0.25,,21750,
2010-12-22,0.247,,15171,
2010-12-23,0.249,,17310,
2010-12-24,0.249,,17217,
2010-12-25,0.249,,18460,
2010-12-26,0.257,,17194,
2010-12-27,0.258,,19108,
2010-12-28,0.272,,18317,
2010-12-29,0.286,,19367,
2010-12-30,0.296,,21295,
